Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	648,00	5924,80	19879,50	55989,00	66935,20	69726,50	66698,40	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
Portugal	:	:	:	:	:	:	:	:	:	:	0,00	547,60	1212,30	1119,30	1119,30	1119,30	1119,30	
Finland	:	:	:	:	:	:	:	:	:	:	0,00	392,00	1316,10	3707,70	4432,50	4617,30	4406,90	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	648,00	5924,80	19879,50	55989,00	66935,20	69726,50	66698,40	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
Greece	:	:	:	:	:	:	:	:	:	:	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
Spain	:	:	:	:	:	:	:	:	:	:	0,00	2597,60	8717,00	24541,70	29350,70	30574,70	29181,10	
France	:	:	:	:	:	:	:	:	:	:	0,00	4449,00	14928,80	42029,80	50266,20	52362,40	49975,80	
Italy	:	:	:	:	:	:	:	:	:	:	0,00	3909,10	13117,80	36932,30	44155,90	45997,80	43900,60	
Luxembourg	:	:	:	:	:	:	:	:	:	:	0,00	54,60	183,30	516,50	617,40	643,20	613,90	
Netherlands	:	:	:	:	:	:	:	:	:	:	0,00	1247,00	4186,70	11791,00	14096,40	14684,20	14014,90	
Austria	:	:	:	:	:	:	:	:	:	:	0,00	607,40	2038,20	5740,70	6863,10	7149,30	8053,40	
